api;cat;type
<android.accounts.IAccountManager$Stub$Proxy: void setPassword(android.accounts.Account,java.lang.String)>;ACCOUNT_SETTINGS;SINK
<android.accounts.IAccountManager$Stub$Proxy: void setUserData(android.accounts.Account,java.lang.String,java.lang.String)>;ACCOUNT_SETTINGS;SINK
<android.accounts.IAccountManager$Stub$Proxy: void updateCredentials(android.accounts.IAccountManagerResponse,android.accounts.Account,java.lang.String,boolean,android.os.Bundle)>;ACCOUNT_SETTINGS;SINK
<android.accounts.IAccountManagerResponse$Stub$Proxy: void onError(int,java.lang.String)>;ACCOUNT_SETTINGS;SINK
<android.animation.PropertyValuesHolder$FloatPropertyValuesHolder: void setAnimatedValue(java.lang.Object)>;LOG;SINK
<android.animation.PropertyValuesHolder$IntPropertyValuesHolder: void setAnimatedValue(java.lang.Object)>;LOG;SINK
<android.animation.PropertyValuesHolder: void setAnimatedValue(java.lang.Object)>;LOG;SINK
<android.animation.PropertyValuesHolder: void setupSetterAndGetter(java.lang.Object)>;LOG;SINK
<android.app.Activity: android.content.ComponentName startService(android.content.Intent)>;INTENT;SINK
<android.app.Activity: void sendBroadcast(android.content.Intent)>;INTENT;SINK
<android.app.Activity: void sendBroadcast(android.content.Intent,java.lang.String)>;INTENT;SINK
<android.app.Activity: void sendOrderedBroadcast(android.content.Intent,java.lang.String)>;INTENT;SINK
<android.app.Activity: void sendOrderedBroadcast(android.content.Intent,java.lang.String,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>;INTENT;SINK
<android.app.Activity: void sendStickyBroadcast(android.content.Intent)>;INTENT;SINK
<android.app.Activity: void sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>;INTENT;SINK
<android.app.Activity: void setResult(int,android.content.Intent)>;INTENT;SINK
<android.app.Activity: void startActivities(android.content.Intent[])>;INTENT;SINK
<android.app.Activity: void startActivity(android.content.Intent)>;INTENT;SINK
<android.app.Activity: void startActivityForResult(android.content.Intent,int)>;INTENT;SINK
<android.app.Activity: void startActivityFromChild(android.app.Activity,android.content.Intent,int)>;INTENT;SINK
<android.app.ActivityThread$ApplicationThread: void dumpActivity(java.io.FileDescriptor,android.os.IBinder,java.lang.String,java.lang.String[])>;FILE;SINK
<android.app.ActivityThread$ApplicationThread: void dumpGfxInfo(java.io.FileDescriptor,java.lang.String[])>;FILE;SINK
<android.app.ActivityThread$ApplicationThread: void dumpService(java.io.FileDescriptor,android.os.IBinder,java.lang.String[])>;FILE;SINK
<android.app.ActivityThread$ApplicationThread: void scheduleConfigurationChanged(android.content.res.Configuration)>;SYSTEM_SETTINGS;SINK
<android.app.ApplicationPackageManager: boolean addPermissionAsync(android.content.pm.PermissionInfo)>;SYNCHRONIZATION_DATA;SINK
<android.app.ApplicationThreadProxy: void dumpActivity(java.io.FileDescriptor,android.os.IBinder,java.lang.String,java.lang.String[])>;FILE;SINK
<android.app.ApplicationThreadProxy: void dumpGfxInfo(java.io.FileDescriptor,java.lang.String[])>;FILE;SINK
<android.app.ApplicationThreadProxy: void dumpService(java.io.FileDescriptor,android.os.IBinder,java.lang.String[])>;FILE;SINK
<android.app.BackStackRecord: void dump(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>;FILE;SINK
<android.app.DialogFragment: void dump(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>;FILE;SINK
<android.app.DownloadManager: android.os.ParcelFileDescriptor openDownloadedFile(long)>;FILE;SINK
<android.app.Fragment: void dump(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>;FILE;SINK
<android.app.FragmentManagerImpl: void dispatchConfigurationChanged(android.content.res.Configuration)>;SYSTEM_SETTINGS;SINK
<android.app.FragmentManagerImpl: void dump(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>;FILE;SINK
<android.app.FragmentManagerImpl: void setBackStackIndex(int,android.app.BackStackRecord)>;LOG;SINK
<android.app.Instrumentation: android.app.Activity startActivitySync(android.content.Intent)>;SYNCHRONIZATION_DATA;SINK
<android.app.Instrumentation: void sendCharacterSync(int)>;SYNCHRONIZATION_DATA;SINK
<android.app.Instrumentation: void sendKeyDownUpSync(int)>;SYNCHRONIZATION_DATA;SINK
<android.app.Instrumentation: void sendStringSync(java.lang.String)>;SYNCHRONIZATION_DATA;SINK
<android.app.LoaderManagerImpl$LoaderInfo: void dump(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>;FILE;SINK
<android.app.LoaderManagerImpl: void dump(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>;FILE;SINK
<android.app.LocalActivityManager: void dispatchCreate(android.os.Bundle)>;LOG;SINK
<android.app.SearchManager: void startGlobalSearch(java.lang.String,boolean,android.os.Bundle,android.graphics.Rect)>;LOG;SINK
<android.app.Service: void dump(java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>;FILE;SINK
<android.app.Service: void setForeground(boolean)>;LOG;SINK
<android.app.UiModeManager: void enableCarMode(int)>;LOG;SINK
<android.app.UiModeManager: void setNightMode(int)>;LOG;SINK
<android.app.WallpaperManager: void setBitmap(android.graphics.Bitmap)>;LOG;SINK
<android.app.WallpaperManager: void setResource(int)>;LOG;SINK
<android.app.WallpaperManager: void setStream(java.io.InputStream)>;LOG;SINK
<android.app.admin.DevicePolicyManager: int setStorageEncryption(android.content.ComponentName,boolean)>;LOG;SINK
<android.app.admin.DevicePolicyManager: void setActiveAdmin(android.content.ComponentName,boolean)>;LOG;SINK
<android.app.admin.DevicePolicyManager: void setCameraDisabled(android.content.ComponentName,boolean)>;LOG;SINK
<android.app.admin.DevicePolicyManager: void setMaximumFailedPasswordsForWipe(android.content.ComponentName,int)>;LOG;SINK
<android.app.admin.DevicePolicyManager: void setMaximumTimeToLock(android.content.ComponentName,long)>;LOG;SINK
<android.app.admin.DevicePolicyManager: void setPasswordExpirationTimeout(android.content.ComponentName,long)>;LOG;SINK
<android.app.admin.DevicePolicyManager: void setPasswordHistoryLength(android.content.ComponentName,int)>;LOG;SINK
<android.app.admin.DevicePolicyManager: void setPasswordMinimumLength(android.content.ComponentName,int)>;LOG;SINK
<android.app.admin.DevicePolicyManager: void setPasswordMinimumLetters(android.content.ComponentName,int)>;LOG;SINK
<android.app.admin.DevicePolicyManager: void setPasswordMinimumLowerCase(android.content.ComponentName,int)>;LOG;SINK
<android.app.admin.DevicePolicyManager: void setPasswordMinimumNonLetter(android.content.ComponentName,int)>;LOG;SINK
<android.app.admin.DevicePolicyManager: void setPasswordMinimumNumeric(android.content.ComponentName,int)>;LOG;SINK
<android.app.admin.DevicePolicyManager: void setPasswordMinimumSymbols(android.content.ComponentName,int)>;LOG;SINK
<android.app.admin.DevicePolicyManager: void setPasswordMinimumUpperCase(android.content.ComponentName,int)>;LOG;SINK
<android.app.admin.DevicePolicyManager: void setPasswordQuality(android.content.ComponentName,int)>;LOG;SINK
<android.app.backup.BackupAgent: void onRestoreFile(android.os.ParcelFileDescriptor,long,java.io.File,int,long,long)>;FILE;SINK
<android.app.backup.BackupHelperDispatcher: void performRestore(android.app.backup.BackupDataInput,int,android.os.ParcelFileDescriptor)>;LOG;SINK
<android.app.backup.FullBackup: void restoreFile(android.os.ParcelFileDescriptor,long,int,long,long,java.io.File)>;FILE;SINK
<android.app.backup.RestoreSession: int restorePackage(java.lang.String,android.app.backup.RestoreObserver)>;LOG;SINK
<android.app.backup.RestoreSession: int restoreSome(long,android.app.backup.RestoreObserver,java.lang.String[])>;LOG;SINK
<android.bluetooth.BluetoothA2dp: boolean setPriority(android.bluetooth.BluetoothDevice,int)>;BLUETOOTH;SINK
<android.bluetooth.BluetoothAdapter: boolean setScanMode(int)>;BLUETOOTH;SINK
<android.bluetooth.BluetoothAdapter: boolean setScanMode(int,int)>;BLUETOOTH;SINK
<android.bluetooth.BluetoothAdapter: void setDiscoverableTimeout(int)>;BLUETOOTH;SINK
<android.bluetooth.BluetoothDevice: boolean setAlias(java.lang.String)>;BLUETOOTH;SINK
<android.bluetooth.BluetoothDevice: boolean setDeviceOutOfBandData(byte[],byte[])>;BLUETOOTH;SINK
<android.bluetooth.BluetoothDevice: boolean setPairingConfirmation(boolean)>;BLUETOOTH;SINK
<android.bluetooth.BluetoothDevice: boolean setPasskey(int)>;BLUETOOTH;SINK
<android.bluetooth.BluetoothDevice: boolean setPin(byte[])>;BLUETOOTH;SINK
<android.bluetooth.BluetoothDevice: boolean setTrust(boolean)>;BLUETOOTH;SINK
<android.bluetooth.BluetoothHeadset: boolean setPriority(android.bluetooth.BluetoothDevice,int)>;BLUETOOTH;SINK
<android.bluetooth.BluetoothHeadset: boolean startScoUsingVirtualVoiceCall(android.bluetooth.BluetoothDevice)>;BLUETOOTH;SINK
<android.bluetooth.BluetoothHeadset: boolean startVoiceRecognition(android.bluetooth.BluetoothDevice)>;BLUETOOTH;SINK
<android.bluetooth.BluetoothInputDevice: boolean setPriority(android.bluetooth.BluetoothDevice,int)>;BLUETOOTH;SINK
<android.bluetooth.BluetoothOutputStream: void write(byte[],int,int)>;BLUETOOTH;SINK
<android.bluetooth.BluetoothPan: void setBluetoothTethering(boolean)>;BLUETOOTH;SINK
<android.bluetooth.IBluetooth$Stub$Proxy: boolean setDiscoverableTimeout(int)>;BLUETOOTH;SINK
<android.bluetooth.IBluetooth$Stub$Proxy: boolean setName(java.lang.String)>;BLUETOOTH;SINK
<android.bluetooth.IBluetooth$Stub$Proxy: boolean setScanMode(int,int)>;BLUETOOTH;SINK
<android.bluetooth.IBluetooth$Stub$Proxy: void sendConnectionStateChange(android.bluetooth.BluetoothDevice,int,int,int)>;BLUETOOTH;SINK
<android.bluetooth.IBluetoothA2dp$Stub$Proxy: boolean setPriority(android.bluetooth.BluetoothDevice,int)>;BLUETOOTH;SINK
<android.bluetooth.IBluetoothHeadset$Stub$Proxy: boolean setPriority(android.bluetooth.BluetoothDevice,int)>;BLUETOOTH;SINK
<android.bluetooth.IBluetoothHealthCallback$Stub$Proxy: void onHealthAppConfigurationStatusChange(android.bluetooth.BluetoothHealthAppConfiguration,int)>;BLUETOOTH;SINK
<android.bluetooth.IBluetoothHealthCallback$Stub$Proxy: void onHealthChannelStateChange(android.bluetooth.BluetoothHealthAppConfiguration,android.bluetooth.BluetoothDevice,int,int,android.os.ParcelFileDescriptor,int)>;BLUETOOTH;SINK
<android.content.AsyncTaskLoader: void dump(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>;FILE;SINK
<android.content.ContentProviderProxy: android.content.res.AssetFileDescriptor openAssetFile(android.net.Uri,java.lang.String)>;FILE;SINK
<android.content.ContentProviderProxy: android.content.res.AssetFileDescriptor openTypedAssetFile(android.net.Uri,java.lang.String,android.os.Bundle)>;FILE;SINK
<android.content.ContentProviderProxy: android.os.ParcelFileDescriptor openFile(android.net.Uri,java.lang.String)>;FILE;SINK
<android.content.ContentResolver: void setIsSyncable(android.accounts.Account,java.lang.String,int)>;SYNCHRONIZATION_DATA;SINK
<android.content.ContentResolver: void setSyncAutomatically(android.accounts.Account,java.lang.String,boolean)>;SYNCHRONIZATION_DATA;SINK
<android.content.ContextWrapper: void setWallpaper(java.io.InputStream)>;ACCOUNT_SETTINGS;SINK
<android.content.CursorLoader: void dump(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>;FILE;SINK
<android.content.IContentService$Stub$Proxy: boolean isSyncActive(android.accounts.Account,java.lang.String)>;SYNCHRONIZATION_DATA;SINK
<android.content.IContentService$Stub$Proxy: boolean isSyncPending(android.accounts.Account,java.lang.String)>;SYNCHRONIZATION_DATA;SINK
<android.content.IContentService$Stub$Proxy: void addPeriodicSync(android.accounts.Account,java.lang.String,android.os.Bundle,long)>;SYNCHRONIZATION_DATA;SINK
<android.content.IContentService$Stub$Proxy: void cancelSync(android.accounts.Account,java.lang.String)>;SYNCHRONIZATION_DATA;SINK
<android.content.IContentService$Stub$Proxy: void removePeriodicSync(android.accounts.Account,java.lang.String,android.os.Bundle)>;SYNCHRONIZATION_DATA;SINK
<android.content.IContentService$Stub$Proxy: void requestSync(android.accounts.Account,java.lang.String,android.os.Bundle)>;SYNCHRONIZATION_DATA;SINK
<android.content.IContentService$Stub$Proxy: void setIsSyncable(android.accounts.Account,java.lang.String,int)>;SYNCHRONIZATION_DATA;SINK
<android.content.IContentService$Stub$Proxy: void setMasterSyncAutomatically(boolean)>;SYNCHRONIZATION_DATA;SINK
<android.content.IContentService$Stub$Proxy: void setSyncAutomatically(android.accounts.Account,java.lang.String,boolean)>;SYNCHRONIZATION_DATA;SINK
<android.content.ISyncAdapter$Stub$Proxy: void cancelSync(android.content.ISyncContext)>;SYNCHRONIZATION_DATA;SINK
<android.content.ISyncAdapter$Stub$Proxy: void startSync(android.content.ISyncContext,java.lang.String,android.accounts.Account,android.os.Bundle)>;SYNCHRONIZATION_DATA;SINK
<android.content.Loader: void dump(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>;FILE;SINK
<android.content.SyncManager$ActiveSyncContext: void onServiceConnected(android.content.ComponentName,android.os.IBinder)>;SYNCHRONIZATION_DATA;SINK
<android.content.SyncManager: void dump(java.io.FileDescriptor,java.io.PrintWriter)>;FILE;SINK
<android.content.SyncManager: void dumpSyncHistory(java.io.PrintWriter)>;SYNCHRONIZATION_DATA;SINK
<android.content.SyncManager: void dumpSyncState(java.io.PrintWriter)>;SYNCHRONIZATION_DATA;SINK
<android.content.SyncStatusInfo: void setPeriodicSyncTime(int,long)>;SYNCHRONIZATION_DATA;SINK
<android.content.res.Resources: void updateConfiguration(android.content.res.Configuration,android.util.DisplayMetrics)>;SYSTEM_SETTINGS;SINK
<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>;DATABASE_INFORMATION;SINK
<android.hardware.Camera$Parameters: void set(java.lang.String,java.lang.String)>;LOG;SINK
<android.hardware.usb.UsbManager: void setCurrentFunction(java.lang.String,boolean)>;LOG;SINK
<android.hardware.usb.UsbManager: void setMassStorageBackingFile(java.lang.String)>;LOG;SINK
<android.inputmethodservice.AbstractInputMethodService: void dump(java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>;FILE;SINK
<android.inputmethodservice.IInputMethodWrapper: void dump(java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>;FILE;SINK
<android.inputmethodservice.IInputMethodWrapper: void executeMessage(android.os.Message)>;FILE;SINK
<android.inputmethodservice.InputMethodService: void dump(java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>;FILE;SINK
<android.location.ILocationManager$Stub$Proxy: boolean addGpsStatusListener(android.location.IGpsStatusListener)>;LOCATION_INFORMATION;SINK
<android.location.ILocationManager$Stub$Proxy: boolean isProviderEnabled(java.lang.String)>;LOCATION_INFORMATION;SINK
<android.location.ILocationManager$Stub$Proxy: boolean providerMeetsCriteria(java.lang.String,android.location.Criteria)>;LOCATION_INFORMATION;SINK
<android.location.ILocationManager$Stub$Proxy: boolean sendExtraCommand(java.lang.String,java.lang.String,android.os.Bundle)>;LOCATION_INFORMATION;SINK
<android.location.ILocationManager$Stub$Proxy: boolean sendNiResponse(int,int)>;LOCATION_INFORMATION;SINK
<android.location.ILocationManager$Stub$Proxy: void clearTestProviderEnabled(java.lang.String)>;LOCATION_INFORMATION;SINK
<android.location.ILocationManager$Stub$Proxy: void clearTestProviderLocation(java.lang.String)>;LOCATION_INFORMATION;SINK
<android.location.ILocationManager$Stub$Proxy: void clearTestProviderStatus(java.lang.String)>;LOCATION_INFORMATION;SINK
<android.location.ILocationManager$Stub$Proxy: void locationCallbackFinished(android.location.ILocationListener)>;LOCATION_INFORMATION;SINK
<android.location.ILocationManager$Stub$Proxy: void removeGpsStatusListener(android.location.IGpsStatusListener)>;LOCATION_INFORMATION;SINK
<android.location.ILocationManager$Stub$Proxy: void removeTestProvider(java.lang.String)>;LOCATION_INFORMATION;SINK
<android.location.ILocationManager$Stub$Proxy: void setTestProviderEnabled(java.lang.String,boolean)>;LOCATION_INFORMATION;SINK
<android.location.ILocationManager$Stub$Proxy: void setTestProviderLocation(java.lang.String,android.location.Location)>;LOCATION_INFORMATION;SINK
<android.location.ILocationManager$Stub$Proxy: void setTestProviderStatus(java.lang.String,int,android.os.Bundle,long)>;LOCATION_INFORMATION;SINK
<android.location.LocationManager: boolean sendExtraCommand(java.lang.String,java.lang.String,android.os.Bundle)>;LOCATION_INFORMATION;SINK
<android.location.LocationManager: boolean sendNiResponse(int,int)>;LOCATION_INFORMATION;SINK
<android.location.LocationManager: void setTestProviderEnabled(java.lang.String,boolean)>;LOCATION_INFORMATION;SINK
<android.location.LocationManager: void setTestProviderLocation(java.lang.String,android.location.Location)>;LOCATION_INFORMATION;SINK
<android.location.LocationManager: void setTestProviderStatus(java.lang.String,int,android.os.Bundle,long)>;LOCATION_INFORMATION;SINK
<android.media.AudioManager: void setBluetoothA2dpOn(boolean)>;AUDIO;SINK
<android.media.AudioManager: void setBluetoothScoOn(boolean)>;AUDIO;SINK
<android.media.AudioManager: void setMicrophoneMute(boolean)>;AUDIO;SINK
<android.media.AudioManager: void setMode(int)>;AUDIO;SINK
<android.media.AudioManager: void setParameter(java.lang.String,java.lang.String)>;AUDIO;SINK
<android.media.AudioManager: void setParameters(java.lang.String)>;AUDIO;SINK
<android.media.AudioManager: void setRingerMode(int)>;AUDIO;SINK
<android.media.AudioManager: void setRouting(int,int,int)>;AUDIO;SINK
<android.media.AudioManager: void setSpeakerphoneOn(boolean)>;AUDIO;SINK
<android.media.AudioManager: void setStreamMute(int,boolean)>;AUDIO;SINK
<android.media.AudioManager: void setStreamSolo(int,boolean)>;AUDIO;SINK
<android.media.AudioManager: void setStreamVolume(int,int,int)>;AUDIO;SINK
<android.media.AudioManager: void setVibrateSetting(int,int)>;AUDIO;SINK
<android.media.AudioManager: void setWiredHeadsetOn(boolean)>;AUDIO;SINK
<android.media.IAudioFocusDispatcher$Stub$Proxy: void dispatchAudioFocusChange(int,java.lang.String)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: boolean shouldVibrate(int)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: int abandonAudioFocus(android.media.IAudioFocusDispatcher,java.lang.String)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: int requestAudioFocus(int,int,android.os.IBinder,android.media.IAudioFocusDispatcher,java.lang.String,java.lang.String)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void adjustStreamVolume(int,int,int)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void adjustSuggestedStreamVolume(int,int,int)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void adjustVolume(int,int)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void playSoundEffect(int)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void playSoundEffectVolume(int,float)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void registerRemoteControlDisplay(android.media.IRemoteControlDisplay)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void remoteControlDisplayUsesBitmapSize(android.media.IRemoteControlDisplay,int,int)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void setBluetoothScoOn(boolean)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void setMode(int,android.os.IBinder)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void setRingerMode(int)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void setSpeakerphoneOn(boolean)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void setStreamMute(int,boolean,android.os.IBinder)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void setStreamSolo(int,boolean,android.os.IBinder)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void setStreamVolume(int,int,int)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void setVibrateSetting(int,int)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void startBluetoothSco(android.os.IBinder)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void stopBluetoothSco(android.os.IBinder)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void unregisterAudioFocusClient(java.lang.String)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void unregisterRemoteControlClient(android.app.PendingIntent,android.media.IRemoteControlClient)>;AUDIO;SINK
<android.media.IAudioService$Stub$Proxy: void unregisterRemoteControlDisplay(android.media.IRemoteControlDisplay)>;AUDIO;SINK
<android.media.MediaMetadataRetriever: void setDataSource(java.io.FileDescriptor)>;FILE;SINK
<android.media.MediaPlayer: void setSurface(android.view.Surface)>;LOG;SINK
<android.media.MediaRecorder: void setAuxiliaryOutputFile(java.io.FileDescriptor)>;FILE;SINK
<android.media.MediaRecorder: void setAuxiliaryOutputFile(java.lang.String)>;LOG;SINK
<android.media.MediaRecorder: void setOutputFile(java.io.FileDescriptor)>;FILE;SINK
<android.media.MiniThumbFile: void saveMiniThumbToFile(byte[],long,long)>;LOG;SINK
<android.net.ConnectivityManager: boolean setRadio(int,boolean)>;NETWORK;SINK
<android.net.ConnectivityManager: boolean setRadios(boolean)>;NETWORK;SINK
<android.net.ConnectivityManager: int setUsbTethering(boolean)>;NETWORK;SINK
<android.net.ConnectivityManager: int startUsingNetworkFeature(int,java.lang.String)>;NETWORK;SINK
<android.net.ConnectivityManager: void setBackgroundDataSetting(boolean)>;NETWORK;SINK
<android.net.ConnectivityManager: void setDataDependency(int,boolean)>;NETWORK;SINK
<android.net.ConnectivityManager: void setGlobalProxy(android.net.ProxyProperties)>;NETWORK;SINK
<android.net.ConnectivityManager: void setMobileDataEnabled(boolean)>;NETWORK;SINK
<android.net.ConnectivityManager: void setNetworkPreference(int)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: boolean prepareVpn(java.lang.String,java.lang.String)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: boolean requestRouteToHost(int,int)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: boolean requestRouteToHostAddress(int,byte[])>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: boolean setRadio(int,boolean)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: boolean setRadios(boolean)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: int setUsbTethering(boolean)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: int startUsingNetworkFeature(int,java.lang.String,android.os.IBinder)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: int stopUsingNetworkFeature(int,java.lang.String)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: int tether(java.lang.String)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: int untether(java.lang.String)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: void reportInetCondition(int,int)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: void requestNetworkTransitionWakelock(java.lang.String)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: void setDataDependency(int,boolean)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: void setGlobalProxy(android.net.ProxyProperties)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: void setMobileDataEnabled(boolean)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: void setNetworkPreference(int)>;NETWORK;SINK
<android.net.IConnectivityManager$Stub$Proxy: void setPolicyDataEnable(int,boolean)>;NETWORK;SINK
<android.net.INetworkPolicyListener$Stub$Proxy: void onMeteredIfacesChanged(java.lang.String[])>;NETWORK;SINK
<android.net.INetworkPolicyListener$Stub$Proxy: void onUidRulesChanged(int,int)>;NETWORK;SINK
<android.net.INetworkPolicyManager$Stub$Proxy: void registerListener(android.net.INetworkPolicyListener)>;NETWORK;SINK
<android.net.INetworkPolicyManager$Stub$Proxy: void setNetworkPolicies(android.net.NetworkPolicy[])>;NETWORK;SINK
<android.net.INetworkPolicyManager$Stub$Proxy: void setRestrictBackground(boolean)>;NETWORK;SINK
<android.net.INetworkPolicyManager$Stub$Proxy: void setUidPolicy(int,int)>;NETWORK;SINK
<android.net.INetworkPolicyManager$Stub$Proxy: void unregisterListener(android.net.INetworkPolicyListener)>;NETWORK;SINK
<android.net.INetworkStatsService$Stub$Proxy: void incrementOperationCount(int,int,int)>;NETWORK;SINK
